Relation.source	Relation.target
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L21 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
myogenin [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S7 [Homo sapiens]
c-src tyrosine kinase [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
mutated in colorectal cancers [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
paxillin [Homo sapiens]	lymphocyte-specific protein tyrosine kinase [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	calmodulin 3 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	myogenic differentiation 1 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	tumor protein p53 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
CD4 antigen precursor [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	vav 1 oncogene [Homo sapiens]
cyclin-dependent kinase inhibitor 1A [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	protein kinase C, iota [Homo sapiens]
mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	U5 snRNP-specific protein, 116 kD [Homo sapiens]
pinin, desmosome associated protein [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	mago-nashi homolog, proliferation-associated (Drosophila) [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L4 [Homo sapiens]
protein kinase C, alpha [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]
protein kinase C, delta [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	pinin, desmosome associated protein [Homo sapiens]
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
cytochrome c [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	U5 snRNP-specific protein, 116 kD [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	prostatic binding protein [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L23a [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	caspase 8 isoform A [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]
tumor protein p53 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
S-phase kinase-associated protein 1A isoform a [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	protein kinase C, epsilon [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]	vav 1 oncogene [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
retinoblastoma 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	DNA directed RNA polymerase II polypeptide L [Homo sapiens]
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	vav 1 oncogene [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	hepatitis delta antigen-interacting protein A [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L30 [Homo sapiens]
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L18a [Homo sapiens]
BCL2-like 11 isoform 6 [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein L22 proprotein [Homo sapiens]
MAD, mothers against decapentaplegic homolog 4 [Homo sapiens]	myogenic differentiation 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
histone deacetylase 1 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	protein kinase C, zeta isoform 2 [Homo sapiens]
erythropoietin receptor precursor [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
adenomatosis polyposis coli [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
mitogen-activated protein kinase kinase kinase 8 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	eukaryotic translation initiation factor 4E [Homo sapiens]
integrin-linked kinase [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
insulin receptor substrate 1 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	complement component 1, q subcomponent binding protein precursor [Homo sapiens]
ribosomal protein S24 isoform c [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
staufen isoform c [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
major histocompatibility complex, class I, B [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	nuclear cap binding protein subunit 1, 80kDa [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	splicing factor, arginine/serine-rich 3 [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	heat shock 90kDa protein 1, beta [Homo sapiens]
vav 1 oncogene [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	actin, gamma 1 propeptide [Homo sapiens]
phospholipid scramblase 1 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L26 [Homo sapiens]
glutathione transferase kappa 1 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 8, 110kDa [Homo sapiens]
interleukin 2 receptor beta precursor [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	ribosomal protein L13 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
growth hormone 1 isoform 1 [Homo sapiens]	calmodulin 1 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	ribosomal protein L3 isoform a [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
nov precursor [Homo sapiens]	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S10 [Homo sapiens]
cyclin A [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	calmodulin 3 [Homo sapiens]
mitogen-activated protein kinase kinase 4 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	solute carrier family 25, member A6 [Homo sapiens]
tuberous sclerosis 2 isoform 1 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L6 [Homo sapiens]
ribosomal protein P1 isoform 1 [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]
ubiquilin 2 [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S18 [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	thrombospondin 1 precursor [Homo sapiens]
glutathione transferase kappa 1 [Homo sapiens]	cytochrome c [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 4A, isoform 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
hypothetical protein FLJ20425 [Homo sapiens]	ribosomal protein L18a [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 11 [Homo sapiens]
interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
caspase 8 isoform A [Homo sapiens]	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
paxillin [Homo sapiens]	v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L27a [Homo sapiens]
receptor-interacting serine-threonine kinase 2 [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S8 [Homo sapiens]
hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
N-myc downstream regulated gene 1 [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L23a [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]
cullin 1 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L32 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]
tumor protein p53 [Homo sapiens]	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein L27 [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
S-phase kinase-associated protein 1A isoform a [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	gemin4 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
translation factor sui1 homolog [Homo sapiens]	CDC37 homolog [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L18a [Homo sapiens]
B-cell CLL/lymphoma 3 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	protein kinase C, delta [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	ribosomal protein L31 [Homo sapiens]
TRAF2 and NCK interacting kinase [Homo sapiens]	disrupted in schizophrenia 1 isoform Lv [Homo sapiens]
cyclin-dependent kinase inhibitor 1A [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
erythropoietin receptor precursor [Homo sapiens]	protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]
AMP-activated protein kinase beta 1 non-catalytic subunit [Homo sapiens]	cytochrome c [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 12 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L3 isoform a [Homo sapiens]
cell division cycle 25A isoform a [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
receptor-interacting serine-threonine kinase 2 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]
LIM and senescent cell antigen-like domains 1 [Homo sapiens]	integrin-linked kinase [Homo sapiens]
ribosomal protein S12 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
transforming growth factor, beta receptor I precursor [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
insulin-like growth factor binding protein 6 [Homo sapiens]	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	coiled-coil domain containing 85B [Homo sapiens]
FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	U1 small nuclear ribonucleoprotein 70 kDa isoform b [Homo sapiens]
PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	phytanoyl-CoA hydroxylase interacting protein [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	cell division cycle 2 protein isoform 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S10 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	splicing factor, arginine/serine-rich 4 [Homo sapiens]
major histocompatibility complex, class I, B [Homo sapiens]	cytochrome c [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	paxillin [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	exportin 1 [Homo sapiens]
FtsJ homolog 1 isoform a [Homo sapiens]	cytochrome c [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	splicing factor, arginine/serine-rich 3 [Homo sapiens]
eukaryotic translation initiation factor 4E [Homo sapiens]	RNA-binding protein S1, serine-rich domain [Homo sapiens]
ribosomal protein L5 [Homo sapiens]	casein kinase II alpha 1 subunit isoform a [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S11 [Homo sapiens]
von Hippel-Lindau tumor suppressor isoform 1 [Homo sapiens]	ribosomal protein L18a [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	similar to 60S ribosomal protein L21 [Homo sapiens]
ribosomal protein S19 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]
