Object	Object type	Relation source	Relation source type	Relation target	Relation target type
heat shock 70kDa protein 1B [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 70kDa protein 1B [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S16 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S16 [Homo sapiens]	Protein
CREB binding protein [Homo sapiens] interacts with v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	CREB binding protein [Homo sapiens]	Protein	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein
myogenic differentiation 1 [Homo sapiens] interacts with v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenic differentiation 1 [Homo sapiens]	Protein	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein
disrupted in schizophrenia 1 isoform Lv [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	Helper_PPI (Two-hybrid)	disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with eukaryotic translation termination factor 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	eukaryotic translation termination factor 1 [Homo sapiens]	Protein
microRNA 133b [Homo sapiens] regulates MESH:D024510 Muscle Development	regulation	microRNA 133b [Homo sapiens]	Protein	MESH:D024510 Muscle Development	MeSH
cadherin 1, type 1 preproprotein [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	cadherin 1, type 1 preproprotein [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L21 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L21 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens] interacts with ribosomal protein L7 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	Protein	ribosomal protein L7 [Homo sapiens]	Protein
myogenin [Homo sapiens] interacts with Sp1 transcription factor [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenin [Homo sapiens]	Protein	Sp1 transcription factor [Homo sapiens]	Protein
activating signal cointegrator 1 complex subunit 2 [Homo sapiens] interacts with phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Helper_PPI (Two-hybrid)	activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	Protein	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein S7 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein S7 [Homo sapiens]	Protein
c-src tyrosine kinase [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	c-src tyrosine kinase [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with 40S ribosomal protein S3a [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	40S ribosomal protein S3a [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with ribosomal protein S16 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	ribosomal protein S16 [Homo sapiens]	Protein
mutated in colorectal cancers [Homo sapiens] interacts with nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	mutated in colorectal cancers [Homo sapiens]	Protein	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with 40S ribosomal protein S3a [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	40S ribosomal protein S3a [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with calmodulin 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	calmodulin 3 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with myogenic differentiation 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	myogenic differentiation 1 [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens] interacts with poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	Protein	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein
eukaryotic translation initiation factor 2 beta [Homo sapiens] interacts with tumor protein p53 [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 2 beta [Homo sapiens]	Protein	tumor protein p53 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
CD4 antigen precursor [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	CD4 antigen precursor [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
cyclin-dependent kinase inhibitor 1A [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase inhibitor 1A [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with protein kinase C, iota [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	protein kinase C, iota [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 5 [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens] interacts with v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with U5 snRNP-specific protein, 116 kD [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	U5 snRNP-specific protein, 116 kD [Homo sapiens]	Protein
pinin, desmosome associated protein [Homo sapiens] interacts with 3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	pinin, desmosome associated protein [Homo sapiens]	Protein	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with mago-nashi homolog, proliferation-associated (Drosophila) [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	mago-nashi homolog, proliferation-associated (Drosophila) [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L4 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L4 [Homo sapiens]	Protein
protein kinase C, alpha [Homo sapiens] interacts with integrin beta 1 isoform 1A precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase C, alpha [Homo sapiens]	Protein	integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Protein
protein kinase C, delta [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase C, delta [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with pinin, desmosome associated protein [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	pinin, desmosome associated protein [Homo sapiens]	Protein
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
cytochrome c [Homo sapiens] interacts with B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	cytochrome c [Homo sapiens]	Protein	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with U5 snRNP-specific protein, 116 kD [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	U5 snRNP-specific protein, 116 kD [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with prostatic binding protein [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	prostatic binding protein [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with ribosomal protein L23a [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	ribosomal protein L23a [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens] interacts with caspase 8 isoform A [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	caspase 8 isoform A [Homo sapiens]	Protein
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens] interacts with proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Protein
myc proto-oncogene protein [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	myc proto-oncogene protein [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
tumor protein p53 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor protein p53 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
S-phase kinase-associated protein 1A isoform a [Homo sapiens] interacts with glycogen synthase kinase 3 beta [Homo sapiens]	Helper_PPI (good experimental evidence)	S-phase kinase-associated protein 1A isoform a [Homo sapiens]	Protein	glycogen synthase kinase 3 beta [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with protein kinase C, epsilon [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	protein kinase C, epsilon [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens] interacts with ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	Protein	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein
retinoblastoma 1 [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoblastoma 1 [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with DNA directed RNA polymerase II polypeptide L [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	DNA directed RNA polymerase II polypeptide L [Homo sapiens]	Protein
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with hepatitis delta antigen-interacting protein A [Homo sapiens]	Helper_PPI (Two-hybrid)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	hepatitis delta antigen-interacting protein A [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L30 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L30 [Homo sapiens]	Protein
cyclin-dependent kinase 2 isoform 1 [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L18a [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L18a [Homo sapiens]	Protein
BCL2-like 11 isoform 6 [Homo sapiens] interacts with B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	BCL2-like 11 isoform 6 [Homo sapiens]	Protein	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Protein
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens] interacts with ribosomal protein S3 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	Protein	ribosomal protein S3 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein L22 proprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein L22 proprotein [Homo sapiens]	Protein
MAD, mothers against decapentaplegic homolog 4 [Homo sapiens] interacts with myogenic differentiation 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	MAD, mothers against decapentaplegic homolog 4 [Homo sapiens]	Protein	myogenic differentiation 1 [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
histone deacetylase 1 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	histone deacetylase 1 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with protein kinase C, zeta isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	protein kinase C, zeta isoform 2 [Homo sapiens]	Protein
erythropoietin receptor precursor [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	erythropoietin receptor precursor [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Protein
adenomatosis polyposis coli [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	adenomatosis polyposis coli [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 8 [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 8 [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
integrin-linked kinase [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin-linked kinase [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
insulin receptor substrate 1 [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin receptor substrate 1 [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens] interacts with myc proto-oncogene protein [Homo sapiens]	Helper_PPI (good experimental evidence)	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Protein	myc proto-oncogene protein [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens] interacts with complement component 1, q subcomponent binding protein precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	complement component 1, q subcomponent binding protein precursor [Homo sapiens]	Protein
ribosomal protein S24 isoform c [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S24 isoform c [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
staufen isoform c [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	staufen isoform c [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
major histocompatibility complex, class I, B [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	major histocompatibility complex, class I, B [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
